msoa11,duration_to_central,oslaua,borough
E02000900,70,E09000031,Waltham Forest
E02000901,62,E09000031,Waltham Forest
E02000902,57,E09000031,Waltham Forest
E02000903,58,E09000031,Waltham Forest
E02000904,68,E09000031,Waltham Forest
E02000905,57,E09000031,Waltham Forest
E02000906,54,E09000031,Waltham Forest
E02000907,52,E09000031,Waltham Forest
E02000908,44,E09000031,Waltham Forest
E02000909,51,E09000031,Waltham Forest
E02000910,48,E09000031,Waltham Forest
E02000911,51,E09000031,Waltham Forest
E02000912,60,E09000031,Waltham Forest
E02000913,53,E09000031,Waltham Forest
E02000914,44,E09000031,Waltham Forest
E02000915,45,E09000031,Waltham Forest
E02000916,57,E09000031,Waltham Forest
E02000917,46,E09000031,Waltham Forest
E02000918,45,E09000031,Waltham Forest
E02000919,47,E09000031,Waltham Forest
E02000920,51,E09000031,Waltham Forest
E02000921,47,E09000031,Waltham Forest
E02000922,51,E09000031,Waltham Forest
E02000923,40,E09000032,Wandsworth
E02000924,40,E09000032,Wandsworth
E02000925,39,E09000032,Wandsworth
E02000926,48,E09000032,Wandsworth
E02000927,45,E09000032,Wandsworth
E02000928,52,E09000032,Wandsworth
E02000929,36,E09000032,Wandsworth
E02000930,42,E09000032,Wandsworth
E02000931,45,E09000032,Wandsworth
E02000932,46,E09000032,Wandsworth
E02000933,39,E09000032,Wandsworth
E02000934,37,E09000032,Wandsworth
E02000935,60,E09000032,Wandsworth
E02000936,53,E09000032,Wandsworth
E02000937,46,E09000032,Wandsworth
E02000938,54,E09000032,Wandsworth
E02000939,46,E09000032,Wandsworth
E02000940,47,E09000032,Wandsworth
E02000942,50,E09000032,Wandsworth
E02000943,45,E09000032,Wandsworth
E02000944,58,E09000032,Wandsworth
E02000945,61,E09000032,Wandsworth
E02000946,43,E09000032,Wandsworth
E02000947,52,E09000032,Wandsworth
E02000948,44,E09000032,Wandsworth
E02000949,49,E09000032,Wandsworth
E02000950,55,E09000032,Wandsworth
E02000951,48,E09000032,Wandsworth
E02000952,49,E09000032,Wandsworth
E02000953,48,E09000032,Wandsworth
E02000954,53,E09000032,Wandsworth
E02000955,52,E09000032,Wandsworth
E02000956,50,E09000032,Wandsworth
E02000957,49,E09000032,Wandsworth
E02000958,56,E09000032,Wandsworth
E02000959,60,E09000032,Wandsworth
E02000960,38,E09000033,Westminster
E02000961,46,E09000033,Westminster
E02000962,42,E09000033,Westminster
E02000963,44,E09000033,Westminster
E02000964,49,E09000033,Westminster
E02000965,42,E09000033,Westminster
E02000966,39,E09000033,Westminster
E02000967,30,E09000033,Westminster
E02000968,40,E09000033,Westminster
E02000969,52,E09000033,Westminster
E02000970,27,E09000033,Westminster
E02000971,29,E09000033,Westminster
E02000972,21,E09000033,Westminster
E02000973,44,E09000033,Westminster
E02000974,28,E09000033,Westminster
E02000975,27,E09000033,Westminster
E02000976,40,E09000033,Westminster
E02000977,17,E09000033,Westminster
E02000978,37,E09000033,Westminster
E02000979,20,E09000033,Westminster
E02000980,22,E09000033,Westminster
E02000981,31,E09000033,Westminster
E02000982,32,E09000033,Westminster
E02000983,27,E09000033,Westminster
E02006782,59,E09000006,Bromley
E02006783,63,E09000023,Lewisham
E02006784,64,E09000023,Lewisham
E02006785,71,E09000004,Bexley
E02006786,63,E09000011,Greenwich
E02006788,66,E09000008,Croydon
E02006789,90,E09000006,Bromley
E02006791,59,E09000009,Ealing
E02006792,55,E09000018,Hounslow
E02006793,59,E09000010,Enfield
E02006794,58,E09000014,Haringey
E02006795,66,E09000015,Harrow
E02006796,72,E09000017,Hillingdon
E02006798,50,E09000023,Lewisham
E02006799,64,E09000002,Barking and Dagenham
E02006800,51,E09000026,Redbridge
E02006801,16,E09000022,Lambeth
E02006802,23,E09000028,Southwark
E02006836,69,E09000029,Sutton
E02006853,40,E09000030,Tower Hamlets
E02006854,33,E09000030,Tower Hamlets
E02006882,58,E09000015,Harrow
E02006918,46,E09000012,Hackney
E02006921,48,E09000012,Hackney
E02006924,54,E09000026,Redbridge
E02006925,62,E09000026,Redbridge
E02006927,51,E09000011,Greenwich
E02006928,45,E09000011,Greenwich
E02006929,46,E09000011,Greenwich
E02006930,47,E09000011,Greenwich
E02006931,46,E09000011,Greenwich
E02000340,70,E09000011,Greenwich
E02000575,20,E09000019,Islington
E02000623,36,E09000022,Lambeth
E02000736,55,E09000025,Newham
E02000769,69,E09000026,Redbridge
E02000850,70,E09000029,Sutton
E02000941,48,E09000032,Wandsworth
E02006787,62,E09000006,Bromley
